iter	Passed	Remaining
0	157	156985
1	169	84512
2	179	59800
3	186	46401
4	191	38195
5	196	32593
6	200	28447
7	205	25422
8	208	22945
9	211	20958
10	214	19303
11	217	17943
12	220	16763
13	224	15782
14	226	14881
15	229	14096
16	231	13394
17	234	12814
18	235	12182
19	238	11687
20	240	11235
21	243	10825
22	245	10449
23	248	10106
24	251	9824
25	254	9526
26	256	9250
27	259	8997
28	261	8758
29	264	8540
30	267	8353
31	269	8161
32	272	7983
33	274	7808
34	277	7645
35	279	7494
36	282	7358
37	284	7206
38	287	7078
39	289	6952
40	292	6834
41	294	6719
42	296	6609
43	299	6515
44	302	6414
45	304	6316
46	306	6222
47	309	6134
48	311	6051
49	314	5983
50	317	5909
51	320	5846
52	323	5772
53	325	5701
54	327	5632
55	331	5581
56	333	5523
57	336	5463
58	339	5407
59	341	5348
60	343	5294
61	347	5254
62	349	5202
63	352	5152
64	354	5100
65	357	5054
66	359	5007
67	362	4966
68	364	4924
69	367	4883
70	370	4842
71	372	4802
72	375	4763
73	378	4730
74	380	4696
75	383	4660
76	385	4623
77	388	4588
78	390	4552
79	392	4516
80	395	4492
81	399	4472
82	402	4450
83	406	4432
84	409	4405
85	411	4376
86	414	4346
87	416	4316
88	418	4287
89	421	4261
90	423	4233
91	426	4211
92	429	4184
93	431	4158
94	433	4134
95	436	4109
96	438	4082
97	441	4064
98	444	4043
99	446	4020
100	449	3998
101	451	3975
102	453	3953
103	456	3930
104	459	3916
105	461	3895
106	464	3874
107	466	3854
108	469	3835
109	471	3816
110	475	3805
111	477	3786
112	480	3767
113	482	3750
114	485	3732
115	487	3713
116	490	3698
117	492	3683
118	495	3667
119	497	3651
120	500	3634
121	502	3619
122	505	3606
123	508	3593
124	511	3579
125	514	3565
126	516	3552
127	519	3539
128	522	3529
129	525	3516
130	527	3502
131	530	3488
132	532	3474
133	535	3460
134	538	3452
135	541	3439
136	543	3426
137	546	3413
138	548	3400
139	551	3387
140	554	3377
141	556	3364
142	559	3352
143	561	3339
144	564	3327
145	566	3315
146	569	3306
147	572	3296
148	575	3284
149	577	3273
150	580	3261
151	582	3249
152	585	3240
153	588	3230
154	590	3220
155	593	3210
156	596	3200
157	598	3189
158	601	3179
159	604	3171
160	606	3161
161	609	3150
162	611	3141
163	614	3131
164	616	3120
165	619	3112
166	622	3103
167	624	3093
168	627	3084
169	629	3075
170	632	3068
171	635	3061
172	638	3052
173	641	3043
174	643	3034
175	646	3026
176	649	3018
177	651	3010
178	654	3001
179	656	2992
180	659	2984
181	662	2975
182	664	2967
183	667	2961
184	670	2954
185	673	2946
186	675	2937
187	678	2928
188	680	2920
189	683	2913
190	686	2909
191	689	2901
192	692	2893
193	694	2885
194	697	2878
195	699	2870
196	702	2863
197	704	2854
198	707	2846
199	709	2839
200	712	2832
201	715	2824
202	717	2817
203	720	2809
204	722	2802
205	725	2794
206	727	2787
207	730	2779
208	732	2773
209	735	2766
210	738	2759
211	740	2753
212	743	2746
213	746	2740
214	748	2733
215	751	2726
216	753	2720
217	756	2714
218	759	2707
219	761	2700
220	764	2693
221	766	2687
222	769	2681
223	772	2674
224	774	2668
225	777	2661
226	779	2655
227	782	2649
228	784	2642
229	787	2636
230	789	2629
231	793	2626
232	796	2622
233	800	2620
234	803	2616
235	806	2610
236	808	2603
237	811	2597
238	813	2590
239	816	2584
240	818	2578
241	821	2573
242	824	2567
